"Comp.1"	"Comp.2"	"variables"
0.16	0.13	"layer.1.1"
-0.15	0.12	"layer.2.1"
0.06	0.15	"layer.3.1"
0.2	0.07	"layer.4.1"
0.22	-0.06	"layer.5.1"
0.2	-0.08	"layer.6.1"
-0.22	0.02	"layer.7.1"
-0.21	0.08	"layer.8.1"
0.2	0.08	"layer.9.1"
0.22	-0.03	"layer.10.1"
0.22	-0.06	"layer.11.1"
0.2	0.08	"layer.12.1"
-0.21	0.08	"layer.13.1"
0.15	0.13	"layer.14.1"
0.16	0.13	"layer.15.1"
-0.15	0.12	"layer.16.1"
0.06	0.15	"layer.17.1"
0.2	0.07	"layer.18.1"
0.22	-0.06	"layer.19.1"
-0.1	-0.24	"layer.1.2"
-0.12	-0.18	"layer.2.2"
-0.08	-0.28	"layer.3.2"
0.12	-0.17	"layer.4.2"
0.09	-0.18	"layer.5.2"
0.1	0.05	"layer.6.2"
-0.1	-0.09	"layer.7.2"
0.1	-0.18	"layer.8.2"
0.11	0.02	"layer.9.2"
0.11	-0.08	"layer.10.2"
0.05	-0.08	"layer.11.2"
-0.15	-0.02	"layer.12.2"
-0.05	-0.25	"layer.13.2"
0	0.28	"layer.14.2"
-0.13	-0.17	"layer.15.2"
-0.06	-0.28	"layer.16.2"
-0.05	0.24	"layer.17.2"
-0.1	-0.19	"layer.18.2"
-0.09	-0.23	"layer.19.2"
-0.19	0.13	"layer.1.3"
0.08	0.01	"layer.2.3"
0.07	-0.04	"layer.3.3"
0.02	0.03	"layer.4.3"
0.03	-0.18	"layer.5.3"
0.09	-0.09	"layer.6.3"
0.03	0.06	"layer.7.3"
0.03	0.01	"layer.8.3"
-0.19	0.13	"layer.9.3"
0.08	0.01	"layer.10.3"
0.07	-0.04	"layer.11.3"
0.02	0.03	"layer.12.3"
0.03	-0.18	"layer.13.3"
0.09	-0.09	"layer.14.3"
0.03	0.06	"layer.15.3"
0.03	0.01	"layer.16.3"
-0.19	0.13	"layer.17.3"
0.08	0.01	"layer.18.3"
0.07	-0.04	"layer.19.3"
